,LAT,LONG,ALT
0,-0.00271,36.334559999999996,2435
1,-0.002707,36.341645,2412
2,-0.002702,36.354043,2395
3,-0.0027,36.357585,2377
4,0.0044340000000000004,36.369966999999995,2360
5,0.00981,36.378803999999995,2352
6,0.0152,36.394728,2329
7,0.018793999999999998,36.401803,2327
8,0.025972000000000002,36.407096,2351
9,0.040336000000000004,36.41769,2344
10,0.047525,36.424763,2338
11,0.054715,36.430065,2305
12,0.063703,36.435365000000004,2281
13,0.070896,36.438897999999995,2224
14,0.079859,36.445984,2203
15,0.085217,36.451306,2207
16,0.0942,36.460169,2185
17,0.099617,36.467263,2115
18,0.108627,36.476132,2098
19,0.11045999999999999,36.483234,2111
20,0.11051300000000001,36.492114,2109
21,0.106984,36.500997999999996,2096
22,0.103404,36.500999,2106
23,0.096275,36.506331,2090
24,0.089115,36.506334,2093
25,0.080138,36.506337,2139
26,0.07468999999999999,36.495686,2166
27,0.072805,36.479712,2168
28,0.069175,36.470844,2172
29,0.067359,36.463747999999995,2217
30,0.060166,36.458436,2226
31,0.052987,36.456672999999995,2211
32,0.045814999999999995,36.456684,2222
33,0.038646,36.456695,2247
34,0.035088999999999995,36.465565999999995,2246
35,0.035108999999999994,36.472659,2243
36,0.03515,36.481525,2229
37,0.040582,36.492162,2193
38,0.045989,36.497479999999996,2171
39,0.047830000000000004,36.506352,2155
40,0.047867,36.513451,2153
41,0.047925999999999996,36.524103000000004,2144
42,0.047997000000000005,36.534758000000004,2090
43,0.048068,36.545415000000006,2094
44,0.04992,36.554301,2078
45,0.049977999999999995,36.564964,1994
46,0.046404,36.572068,2031
47,0.041035,36.577393,2007
48,0.032079,36.579161,2025
49,0.028495999999999997,36.579157,2036
50,0.021338,36.582701,2052
51,0.014193,36.586247,2070
53,-0.007225,36.595105,2114
54,-0.017929,36.596871,2100
55,-0.028635,36.59686,2107
56,-0.032202999999999996,36.596856,2129
57,-0.035809,36.589749,2136
58,-0.035852999999999996,36.580871,2139
59,-0.025141,36.577333,2140
60,-0.012628,36.57557,2143
61,-0.005494,36.5738,2096
62,0.0070090000000000005,36.573809000000004,2084
63,0.024904,36.572049,2032
64,0.035649,36.570282,2030
65,0.041017000000000005,36.564957,2049
66,0.040994,36.559627,2027
67,0.040924,36.548966,2085
68,0.040854,36.538308,2116
69,0.040796,36.529429,2138
70,0.040737999999999996,36.520553,2156
71,0.040693,36.513453000000005,2152
72,0.040638,36.502806,2164
73,0.040573000000000005,36.490388,2198
74,0.038735000000000006,36.481521,2197
75,0.031521,36.470890999999995,2251
76,0.027923000000000003,36.465576,2269
77,0.017153,36.456728999999996,2274
78,0.011764,36.44965,2309
79,0.006381,36.444344,2334
80,-0.004383,36.433739,2359
81,-0.016936,36.423147,2336
82,-0.02232,36.416082,2330
83,-0.031164999999999998,36.401912,2333
84,-0.034652999999999996,36.391267,2337
85,-0.038225,36.37888,2355
86,-0.040109,36.361221,2364
87,-0.040175,36.350629999999995,2385
88,-0.041947000000000005,36.340009,2421
89,-0.041876,36.33112,2460
90,-0.043575,36.318686,2455
91,-0.043532,36.313348,2469
92,-0.043476,36.306228999999995,2510
93,-0.045218,36.299126,2520
94,-0.045198,36.290255,2522
95,-0.046973,36.277856,2498
96,-0.048746,36.267229,2617
97,-0.050519,36.258371999999994,2626
98,-0.059369000000000005,36.256594,2647
99,-0.06651,36.261951,2683
100,-0.075558,36.270956,2621
101,-0.08102000000000001,36.281690999999995,2591
102,-0.081058,36.287028,2644
103,-0.081173,36.303028999999995,2538
104,-0.081165,36.310099,2557
105,-0.07577300000000001,36.324195,2498
106,-0.07217,36.334773,2422
107,-0.06678300000000001,36.347118,2450
108,-0.06497,36.354176,2405
109,-0.0596,36.362998,2373
110,-0.056012,36.370059000000005,2349
111,-0.052413,36.378888,2345
112,-0.048823000000000005,36.385953,2338
113,-0.034683,36.396591,2336
114,-0.024069999999999998,36.401909,2334
115,-0.011602,36.410743,2330
116,-0.002636,36.417799,2351
117,0.006328,36.424859999999995,2356
118,0.013499,36.430158,2332
119,0.027846,36.438987,2301
120,0.03862,36.447829999999996,2269
121,0.045814999999999995,36.456684,2222
122,0.047624,36.462002000000005,2202
123,0.047688999999999995,36.479739,2216
124,0.047736,36.488608,2175
125,0.047792,36.499253,2165
126,0.047858,36.511676,2157
127,0.047905,36.520552,2141
128,0.04439,36.531205,2129
129,0.039051,36.536532,2116
130,0.031922000000000006,36.541857,2096
131,0.022992,36.545406,2085
132,0.012253,36.545402,2111
133,0.006884,36.5454,2154
134,-0.00027,36.545396999999994,2165
135,-0.016372,36.545390000000005,2180
136,-0.021787,36.536519,2208
137,-0.027219,36.524106,2240
138,-0.030851999999999997,36.513472,2257
139,-0.032702999999999996,36.502842,2314
140,-0.036355,36.492219,2317
141,-0.040052,36.474526000000004,2388
142,-0.041856,36.467448,2390
143,-0.047245999999999996,36.455069,2421
144,-0.052637,36.440926,2456
145,-0.056138,36.430296999999996,2344
146,-0.059574,36.409021,2338
147,-0.064813,36.393057,2345
148,-0.06662,36.375364000000005,2698
149,-0.06843300000000001,36.368301,2358
150,-0.07384199999999999,36.352416999999996,2427
151,-0.079217,36.341834000000006,2472
152,-0.09351699999999999,36.322461,2526
153,-0.098879,36.317192,2593
154,-0.116728,36.301402,2593
155,-0.11851300000000001,36.299648,2636
156,-0.143371,36.297981,2689
157,-0.161103,36.299808,2703
158,-0.169975,36.298080999999996,2698
159,-0.169936,36.306874,2700
160,-0.16985899999999998,36.319169,2671
161,-0.160895,36.336736,2622
162,-0.148402,36.350796,2510
163,-0.12343499999999999,36.371904,2379
164,-0.091446,36.400168,2328
165,-0.084385,36.407258,2327
166,-0.068518,36.424983000000005,2328
167,-0.057920000000000006,36.43207,2353
168,-0.054393,36.435613000000004,2444
169,-0.041902999999999996,36.447981,2415
170,-0.031152999999999997,36.45858,2377
171,-0.022194,36.465648,2349
172,-0.015019999999999999,36.472722,2312
173,-0.007817000000000001,36.479796,2293
174,0.0011560000000000001,36.485102000000005,2279
175,0.011914,36.49041,2246
176,0.019122999999999998,36.49927,2232
177,0.024546000000000002,36.508134999999996,2199
178,0.030006,36.522329,2140
179,0.030052,36.529429,2137
180,0.024782,36.545407,2093
181,0.014075,36.550729,2106
182,0.0033490000000000004,36.552499,2143
183,-0.014532,36.554264,2156
184,-0.019898,36.554261,2174
185,-0.030626,36.554255,2160
186,-0.04135,36.554248,2198
187,-0.055741,36.534739,2274
188,-0.066549,36.520565000000005,2349
189,-0.102461,36.488745,2481
190,-0.113147,36.481683000000004,2524
191,-0.139377,36.465708,2588
192,-0.15703499999999998,36.453308,2330
193,-0.164102,36.446224,2325
194,-0.172941,36.433828000000005,2329
195,-0.178267,36.414364,2338
196,-0.180064,36.391369,2409
197,-0.178419,36.364909999999995,2438
198,-0.166207,36.336743,2632
199,-0.162711,36.329704,2593
200,-0.155664,36.324421,2637
201,-0.141526,36.313817,2602
202,-0.12381400000000001,36.30495,2589
203,-0.10786300000000001,36.297846,2622
204,-0.098912,36.287153,2641
205,-0.104216,36.281847,2678
206,-0.107752,36.27831,2715
207,-0.12556900000000001,36.274892,2755
208,-0.13978800000000002,36.269667,2787
209,-0.153922,36.255528000000005,2783
210,-0.166303,36.244941,2706
211,-0.171603,36.23964,2683
212,-0.18212,36.227158,2666
213,-0.190931,36.22712,2631
214,-0.192732,36.23247,2641
215,-0.19631500000000002,36.243140000000004,2650
216,-0.199856,36.255518,2761
217,-0.199952,36.268008,2721
218,-0.199993,36.28042,2726
219,-0.199977,36.287465000000005,2744
220,-0.19993699999999998,36.301549,2722
221,-0.19983099999999998,36.320873,2704
222,-0.182041,36.349056,2553
223,-0.16958299999999998,36.363146,2426
224,-0.13046,36.396656,2342
225,-0.10747000000000001,36.412596,2328
226,-0.100406,36.419682,2328
227,-0.084486,36.428535,2329
228,-0.07034299999999999,36.435619,2388
229,-0.068606,36.442706,2505
230,-0.066879,36.451563,2493
231,-0.06687,36.462178,2459
232,-0.066858,36.467484999999996,2460
233,-0.068605,36.478097999999996,2432
234,-0.075677,36.488716,2436
235,-0.09351699999999999,36.490502,2493
236,-0.121894,36.476364000000004,2558
237,-0.146438,36.462164,2484
238,-0.15703499999999998,36.453308,2330
239,-0.1747,36.439135,2326
240,-0.181801,36.423211,2345
241,-0.181807,36.417904,2338
242,-0.181822,36.403751,2341
243,-0.181828,36.398445,2364
244,-0.183606,36.386061,2405
245,-0.18369000000000002,36.368421999999995,2422
246,-0.187331,36.349045000000004,2536
247,-0.190928,36.33672,2652
248,-0.19453299999999998,36.322644,2676
249,-0.20166099999999998,36.308569,2649
